array,sampling_rate,song_id,genre_id,genre
"[ 0.          0.          0.         ... -0.00328412 -0.00250573
 -0.00360047]",44100,11483,9,International
"[1.00427963e-10 1.75107051e-09 7.35211780e-10 ... 5.83759369e-03
 8.89943959e-03 1.40173053e-02]",44100,6824,9,International
"[ 7.68095001e-07  6.79882092e-07  1.13696558e-07 ... -2.05989275e-01
 -1.90927308e-01 -1.83851551e-01]",44100,8361,8,Pop
[0.26938436 0.31946009 0.32133973 ... 0.04663855 0.05489732 0.07761133],44100,12269,9,International
"[-8.39513149e-07 -6.86622201e-07 -3.23288015e-07 ...  1.43204145e-02
 -6.07672371e-02 -4.37672548e-02]",44100,1063,0,Electronic
"[-3.29642924e-10 -4.74537076e-10  1.09266698e-08 ... -2.98384890e-01
 -3.06825116e-01 -2.82902196e-01]",44100,11704,6,Chiptune / Glitch
"[ 5.92644938e-08 -5.03715114e-08 -1.50433607e-07 ...  4.01945859e-02
  2.44052373e-02  8.34350847e-03]",44100,18506,8,Pop
[0.         0.         0.         ... 0.05394559 0.10351045 0.14465934],44100,6826,2,Punk
"[ 0.          0.          0.         ...  0.05717392  0.00191444
 -0.05897887]",44100,24811,0,Electronic
"[-1.47293309e-07 -1.88010055e-07 -2.28764515e-07 ...  2.19947897e-01
  1.94871828e-01  1.68005127e-01]",44100,5144,8,Pop
[0.09587787 0.1139129  0.09462664 ... 0.1570768  0.21261173 0.25965539],44100,13722,6,Chiptune / Glitch
"[-0.1166409  -0.11391748 -0.10896998 ... -0.04565687 -0.05273972
 -0.04624821]",44100,4085,9,International
"[ 0.00749038  0.00799161  0.00854316 ... -0.2395212  -0.24038843
 -0.2343319 ]",44100,24317,5,Folk
"[-3.59743240e-08 -3.66780483e-07 -5.62334321e-08 ...  9.87584181e-02
  9.28718746e-02  1.02431722e-01]",44100,6555,9,International
[0.         0.         0.         ... 0.15555652 0.13630521 0.09859935],44100,14683,2,Punk
"[ 0.          0.          0.         ... -0.19138149 -0.18670513
 -0.18447874]",44100,19895,5,Folk
"[-9.74720110e-10 -1.01242903e-10  2.39484459e-08 ...  5.41120600e-02
  2.58217482e-02  2.81012026e-02]",44100,20227,4,Hip-Hop
[0.         0.         0.         ... 0.05446682 0.06038503 0.05576984],44100,6447,2,Punk
"[-3.89101903e-07 -1.38616372e-08  2.98190628e-07 ... -1.12728037e-01
 -1.82562023e-01 -2.07904063e-01]",44100,24926,1,Rock
"[-6.86435221e-08 -9.49526673e-08 -9.37017746e-08 ...  8.28450173e-03
  8.49355757e-03  9.96107236e-03]",44100,945,1,Rock
[0.         0.         0.         ... 0.02946069 0.0964301  0.19387604],44100,19746,8,Pop
"[4.97583500e-07 9.88233836e-07 1.65605684e-07 ... 1.55973762e-01
 1.49336189e-01 1.46442644e-01]",44100,9294,4,Hip-Hop
"[ 0.10046541  0.10814841  0.11579077 ... -0.37438543 -0.37277423
 -0.37414561]",44100,5327,1,Rock
"[-0.25460401 -0.26018386 -0.26634179 ...  0.12702639  0.10603906
  0.10632005]",48000,14909,6,Chiptune / Glitch
"[ 2.87774096e-08  2.71272697e-07  8.00919771e-07 ... -3.57333582e-03
 -1.78944343e-03 -1.33314636e-04]",44100,3594,7,Instrumental
"[ 0.          0.          0.         ... -0.14810239 -0.15542436
 -0.16376317]",44100,17833,1,Rock
"[5.65464347e-07 6.52491394e-07 7.21950698e-07 ... 5.08241728e-03
 8.17016326e-03 1.10784676e-02]",44100,12584,7,Instrumental
"[ 4.47770944e-07  3.34977145e-07  3.10202765e-07 ... -3.04807991e-01
 -2.94261616e-01 -2.84645863e-01]",44100,11691,1,Rock
[0.         0.         0.         ... 0.23315607 0.2614206  0.24877145],44100,686,9,International
"[ 0.          0.          0.         ... -0.92789403 -0.92394689
 -0.92961574]",44100,8753,6,Chiptune / Glitch
"[3.93487255e-07 2.66751996e-07 1.31315218e-07 ... 2.42169589e-01
 2.01164991e-01 1.89375766e-01]",44100,3070,1,Rock
"[ 0.          0.          0.         ... -0.04244754 -0.03689298
 -0.03667904]",44100,15703,5,Folk
"[ 1.89425805e-07  8.52704147e-08 -2.65226419e-07 ... -5.29004604e-01
 -4.93605912e-01 -4.56694111e-01]",44100,20611,3,Experimental
[0.         0.         0.         ... 0.54738998 0.42699035 0.24254659],44100,1456,0,Electronic
[0.         0.         0.         ... 0.02915    0.08998124 0.14980157],48000,16493,8,Pop
"[ 0.          0.          0.         ... -0.27072565 -0.21695002
 -0.19245357]",44100,6237,9,International
"[2.59765257e-07 2.84369134e-07 2.72072221e-07 ... 8.79714079e-02
 1.00669647e-01 1.21971618e-01]",44100,12273,1,Rock
"[-1.00291408e-06 -1.13680670e-06 -8.93637377e-07 ...  2.24670298e-01
  2.29509450e-01  2.27456458e-01]",44100,22548,9,International
"[-1.35357617e-07 -1.07315543e-08  1.57172586e-07 ...  6.79737069e-02
  1.40175320e-01  1.56184249e-01]",44100,901,0,Electronic
"[-0.23309594 -0.25086082 -0.2622283  ... -0.11445136 -0.08710083
 -0.03790081]",44100,8611,0,Electronic
"[ 8.68934904e-07  4.00767629e-07 -8.25415896e-08 ...  1.36228804e-01
  1.49778418e-01  1.14089221e-01]",44100,10084,6,Chiptune / Glitch
"[ 0.          0.          0.         ... -0.01725667 -0.03843211
 -0.05474047]",44100,6123,9,International
"[-1.80240825e-07 -6.46985910e-07  7.32020631e-08 ... -5.32816008e-01
 -3.33222263e-01 -1.73068896e-01]",44100,12301,7,Instrumental
"[ 0.          0.          0.         ... -0.20465925 -0.17935017
 -0.17032343]",44100,19137,9,International
"[-0.03201776 -0.03831193  0.03198732 ... -0.24199007 -0.23753018
 -0.29858562]",44100,8346,6,Chiptune / Glitch
"[ 1.74569040e-12 -5.44719297e-10 -2.20015495e-09 ...  1.05909621e-02
  8.20135139e-03  6.32928591e-03]",44100,5261,1,Rock
"[ 0.          0.          0.         ... -0.02083062 -0.00939801
 -0.0060367 ]",44100,5208,7,Instrumental
"[ 0.          0.          0.         ... -0.209788   -0.17986565
 -0.1651274 ]",44100,24108,5,Folk
"[2.58285326e-07 2.64847287e-07 3.03340634e-07 ... 1.75378866e-01
 1.70974344e-01 1.57545261e-01]",44100,699,4,Hip-Hop
"[ 2.04714456e-06  7.65063987e-07  8.93394571e-07 ... -1.52894244e-01
 -1.63573951e-01 -1.64963298e-01]",44100,3162,1,Rock
"[-2.15890115e-08 -5.53022232e-07 -1.52821203e-06 ... -2.64704730e-02
 -2.63465540e-02 -2.56485688e-02]",44100,23615,5,Folk
"[-3.93914362e-07 -4.45506132e-07 -5.23439851e-07 ...  1.79624315e-01
  9.77957025e-02  5.43391407e-02]",44100,16556,2,Punk
[0.01618395 0.02054369 0.02127024 ... 0.06208658 0.06239674 0.05858175],44100,14412,9,International
"[1.53275471e-06 1.07961850e-06 3.79331560e-07 ... 1.10551994e-01
 9.09209475e-02 1.05694598e-01]",44100,10074,6,Chiptune / Glitch
[0.         0.         0.         ... 0.36302783 0.36894639 0.34648663],44100,3385,2,Punk
"[-7.57049687e-09 -6.47474114e-08 -9.57643422e-08 ...  1.86657198e-01
  1.88398734e-01  1.89382978e-01]",44100,10266,6,Chiptune / Glitch
"[ 0.05500632 -0.00953283 -0.23684602 ...  0.25085504  0.27895153
  0.281014  ]",44100,17309,0,Electronic
"[ 0.          0.          0.         ... -0.47885427 -0.51032624
 -0.45010044]",44100,6617,4,Hip-Hop
"[-8.85080231e-10 -5.42888223e-09 -8.08571166e-09 ... -2.00262368e-01
 -1.90082490e-01 -1.73307970e-01]",44100,6104,9,International
"[ 6.79169343e-08  5.62526488e-07  1.47764251e-06 ... -3.59809482e-02
 -3.78714092e-02 -3.85794230e-02]",44100,15863,5,Folk
"[-1.24878324e-09 -1.45393957e-08 -4.75873172e-08 ...  3.54475323e-02
  3.33878025e-02  3.09021492e-02]",44100,4073,7,Instrumental
"[ 6.03739892e-11 -1.36745820e-09 -2.07485973e-09 ... -8.40163119e-02
 -8.50632489e-02 -7.95249902e-02]",44100,15178,4,Hip-Hop
"[-6.19467672e-11 -9.22792731e-10 -7.83789100e-09 ... -2.01621903e-02
 -1.82288424e-02 -1.68352595e-02]",44100,18703,4,Hip-Hop
"[ 7.08920851e-07  7.41437020e-07  7.36415018e-07 ... -2.96792716e-01
 -2.99510136e-01 -3.03135991e-01]",44100,16448,4,Hip-Hop
"[ 4.29825548e-07 -1.88009068e-07 -3.33177255e-07 ...  3.67261574e-01
  4.91898254e-01  5.05800545e-01]",44100,13843,0,Electronic
"[-2.19787361e-07 -2.47027600e-07 -2.81245530e-07 ...  1.16931859e-01
  1.20118953e-01  1.22390915e-01]",44100,21982,7,Instrumental
"[ 0.          0.          0.         ... -0.37945853 -0.41002841
 -0.40894219]",44100,12329,2,Punk
[0.         0.         0.         ... 0.02947718 0.01955676 0.01401002],44100,20571,9,International
"[-1.32570040e-09 -1.23639708e-08 -3.54216707e-08 ... -4.48829997e-02
 -3.47280679e-02 -2.34023845e-02]",44100,18009,3,Experimental
"[-0.11947965 -0.12699344 -0.13350236 ...  0.11662102  0.11328327
  0.10849515]",44100,5284,4,Hip-Hop
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.44717125e-02
 -5.20758331e-05 -7.79051520e-03]",44100,12117,6,Chiptune / Glitch
"[ 0.          0.          0.         ... -0.03719617 -0.02734635
 -0.02456386]",44100,16530,2,Punk
"[2.16030725e-06 2.08128216e-06 9.12254166e-07 ... 2.24362604e-01
 2.20124885e-01 2.15174586e-01]",44100,18240,4,Hip-Hop
"[-0.03508557 -0.02144395 -0.01100157 ...  0.04060343  0.04246023
  0.06194085]",44100,7145,8,Pop
"[-3.03740202e-08 -1.40346137e-07 -2.29813970e-07 ... -6.30599447e-03
 -2.08731759e-02 -1.95438024e-02]",44100,19916,6,Chiptune / Glitch
"[-3.62558310e-07 -4.55685495e-07 -6.59958459e-07 ... -7.46161751e-02
 -5.03889453e-02 -2.44510798e-02]",44100,7095,4,Hip-Hop
[0.11780101 0.12260507 0.09928643 ... 0.00414266 0.00446988 0.00483151],44100,9882,3,Experimental
"[ 0.          0.          0.         ... -0.00217584 -0.00862342
 -0.01179534]",44100,5432,6,Chiptune / Glitch
"[ 0.          0.          0.         ... -0.07207249 -0.04567995
  0.01466776]",44100,24547,6,Chiptune / Glitch
"[ 0.          0.          0.         ... -0.03517094 -0.0387659
 -0.03766515]",44100,8685,6,Chiptune / Glitch
"[ 1.07108955e-08  1.07637989e-07  3.24071488e-07 ... -4.88490462e-02
 -4.41567022e-02 -4.03581560e-02]",44100,8372,3,Experimental
"[-2.06246853e-10  3.28513397e-10 -1.98579825e-09 ... -6.63524340e-02
 -6.70618261e-02 -7.25986750e-02]",44100,23718,3,Experimental
"[-2.19500591e-10 -9.05111680e-10  8.51407211e-09 ... -2.06240974e-01
 -2.04281688e-01 -1.69252403e-01]",44100,10316,4,Hip-Hop
"[ 0.          0.          0.         ... -0.03333859 -0.01283472
  0.01531421]",44100,19686,7,Instrumental
"[ 0.          0.          0.         ... -0.02105279  0.02150251
  0.06483947]",44100,15856,5,Folk
"[-0.07121039 -0.07875548 -0.08176308 ...  0.05134014  0.05953311
  0.07473675]",44100,653,5,Folk
"[ 0.00146822  0.00364244  0.00528429 ... -0.10918643 -0.08828815
 -0.05056438]",44100,4927,8,Pop
"[ 0.          0.          0.         ... -0.04614049 -0.05170515
 -0.05683503]",44100,17851,7,Instrumental
"[ 4.61543756e-07  6.23026224e-07  6.01473332e-07 ... -4.09640834e-01
 -6.57650441e-01 -6.94745481e-01]",44100,11532,0,Electronic
"[ 7.61260964e-07  6.55265168e-07  8.14559684e-07 ... -6.00887746e-01
 -5.83428651e-01 -5.74578613e-01]",44100,15708,2,Punk
[0.         0.         0.         ... 0.00752412 0.00926868 0.00941292],44100,22052,9,International
"[ 6.24023472e-10  9.93029173e-10  1.27007751e-08 ... -8.80973674e-02
 -1.00911044e-01 -1.12111285e-01]",44100,14564,4,Hip-Hop
"[-1.91069127e-07 -1.09292545e-07 -4.40716512e-08 ... -5.05693480e-02
 -2.20397869e-02  2.31424570e-02]",44100,4280,6,Chiptune / Glitch
"[ 0.02016718  0.01112924  0.00329042 ... -0.07885657 -0.00401368
  0.03226853]",22050,2712,9,International
"[ 0.12522417  0.15147245  0.16763926 ... -0.19971928 -0.15960876
 -0.12298747]",44100,14933,1,Rock
"[ 0.          0.          0.         ... -0.03119178 -0.03715085
 -0.03261506]",44100,9461,5,Folk
"[ 0.          0.          0.         ... -0.00188139  0.00248212
 -0.01275905]",44100,5744,0,Electronic
"[ 4.28182503e-07  4.77544276e-07  5.43754808e-07 ... -5.88391870e-02
 -5.83057608e-02 -5.81813268e-02]",44100,23819,4,Hip-Hop
"[2.82795156e-08 3.60629684e-07 1.14045326e-06 ... 1.45624646e-02
 1.60207618e-02 1.74139172e-02]",44100,6205,3,Experimental
"[-2.28796966e-06 -2.33654782e-06 -2.47927755e-06 ...  6.57834828e-01
  6.95409060e-01  6.56822979e-01]",44100,4798,7,Instrumental
"[-5.28994050e-07 -7.33815938e-07 -7.98246845e-07 ...  1.31749891e-01
  1.29669823e-01  1.22783806e-01]",48000,16647,7,Instrumental
"[-3.00961915e-07 -1.74346738e-07  4.25832667e-08 ...  2.15191504e-02
  1.86287016e-02  1.53148584e-02]",44100,4051,0,Electronic
"[-2.78766992e-08 -2.42795117e-07 -6.58003373e-07 ...  1.19977817e-01
  1.62509482e-01  2.29177698e-01]",44100,15432,0,Electronic
"[1.17356009e-10 1.30549987e-09 4.36933412e-09 ... 1.15349133e-01
 1.19903587e-01 1.24467824e-01]",44100,20456,1,Rock
"[-4.93495689e-10  1.04684927e-10 -2.42628477e-08 ...  4.53423485e-02
  3.94280236e-02  2.80676922e-02]",44100,3877,9,International
[0.         0.         0.         ... 0.01053495 0.0112297  0.01244853],44100,21934,7,Instrumental
"[ 1.41969245e-07  2.38216474e-07  5.47005243e-07 ... -1.78984176e-01
 -1.98825821e-01 -2.16475867e-01]",44100,20134,7,Instrumental
"[-3.02397581e-07  1.79800281e-08  5.86922596e-07 ... -6.41313829e-02
 -3.39792892e-02 -1.13510530e-01]",44100,17778,5,Folk
"[-0.05139131  0.00911421 -0.04782933 ... -0.00232437 -0.01386088
 -0.03596067]",44100,2851,0,Electronic
"[-4.43753123e-08  6.29962187e-07  1.41781972e-06 ... -1.93607435e-01
 -2.02493303e-01 -2.01857463e-01]",44100,3843,0,Electronic
[0.05136091 0.05273182 0.05553615 ... 0.16231425 0.16267275 0.16353635],44100,18091,9,International
"[-0.05479047 -0.09829712 -0.14083917 ... -0.08142541 -0.06691789
 -0.06167468]",44100,6149,1,Rock
[0.         0.         0.         ... 0.27847342 0.27406427 0.27091434],44100,9198,9,International
"[-1.09926336e-09 -9.50914508e-09 -3.41934081e-08 ...  9.81639698e-02
  7.98792429e-02  8.65921509e-02]",44100,21495,2,Punk
[0.         0.         0.         ... 0.02171885 0.02774122 0.01607845],44100,4785,8,Pop
"[-4.57902360e-07 -9.30398784e-07 -5.46379340e-07 ... -4.98929292e-01
 -4.71255913e-01 -4.16009739e-01]",44100,366,4,Hip-Hop
"[-0.16150644 -0.14070479 -0.12196275 ...  0.45413938  0.43072696
  0.41455927]",48000,11716,0,Electronic
"[-3.25848998e-09 -3.03184500e-08 -6.08106143e-08 ...  8.07618154e-02
  8.10911618e-02  8.27087807e-02]",44100,21978,7,Instrumental
"[ 1.49853269e-10  2.29705588e-10  1.06601590e-08 ... -3.63773033e-02
 -3.82087417e-02 -3.96836884e-02]",44100,18222,8,Pop
"[6.75607822e-07 5.36819982e-07 3.49246321e-07 ... 5.68735927e-01
 5.28127462e-01 5.83929345e-01]",44100,4917,6,Chiptune / Glitch
"[-7.16636691e-07 -6.85809567e-07 -6.80245392e-07 ...  1.88476764e-01
  1.64153688e-01  1.43437963e-01]",44100,10637,1,Rock
"[ 0.06387958  0.10313347  0.21919137 ... -0.09166223 -0.11033026
 -0.13176441]",44100,18425,7,Instrumental
"[ 0.          0.          0.         ...  0.01886183  0.03211961
 -0.00465336]",44100,12780,1,Rock
"[-0.04782553 -0.05275422 -0.05084628 ... -0.28492388 -0.28320238
 -0.28761171]",44100,23647,5,Folk
"[ 8.55299689e-08  1.29979258e-08 -6.85799471e-08 ...  2.47344365e-02
  3.71964788e-02  4.58559226e-02]",44100,1174,4,Hip-Hop
[0.         0.         0.         ... 0.17737035 0.17632425 0.18077305],44100,11709,0,Electronic
"[ 0.          0.          0.         ... -0.32332482 -0.29696002
 -0.26364848]",44100,23662,2,Punk
"[ 3.38844841e-10 -5.35729949e-09 -1.37604870e-08 ... -2.13558879e-02
 -2.41476800e-02 -1.60914292e-02]",44100,1040,8,Pop
"[ 1.99492689e-09 -1.90802467e-08 -9.80760149e-08 ... -6.80927094e-02
 -6.50756173e-02 -6.19457345e-02]",48000,4736,7,Instrumental
"[-9.86652253e-07 -1.06888322e-06 -1.08780574e-06 ...  2.00638227e-01
  2.21971348e-01  2.71312222e-01]",44100,16226,4,Hip-Hop
"[ 1.03262028e-06  9.57973441e-07  8.47772668e-07 ... -3.90375573e-02
 -6.18665069e-02 -9.68014114e-02]",44100,2688,8,Pop
"[ 0.          0.          0.         ... -0.08321619 -0.08340638
 -0.06999427]",44100,21457,5,Folk
[0.         0.         0.         ... 0.09640151 0.08567739 0.07479528],44100,5600,3,Experimental
"[ 0.01907787  0.02186082 -0.00735208 ... -0.04670839 -0.08116467
 -0.07101862]",44100,10111,9,International
"[ 0.          0.          0.         ... -0.04305659 -0.03632461
 -0.0363867 ]",44100,862,0,Electronic
"[-8.86918485e-07 -6.28717061e-07 -5.32480101e-07 ...  5.69172144e-01
  5.60449958e-01  5.49441606e-01]",44100,10470,0,Electronic
[0.         0.         0.         ... 0.00094202 0.00140435 0.01350532],44100,18491,9,International
[0.         0.         0.         ... 0.20989889 0.20949588 0.22575485],44100,17859,8,Pop
[0.         0.         0.         ... 0.10231302 0.12522894 0.14380879],44100,921,9,International
"[ 0.          0.          0.         ... -0.34731741 -0.32016873
 -0.32333195]",44100,19471,9,International
"[ 3.49943803e-10 -5.69982728e-10  8.22629986e-09 ... -2.55062543e-02
 -2.76202150e-02 -2.83263288e-02]",44100,11184,0,Electronic
"[ 1.48939785e-06  9.36179021e-07  7.42131078e-07 ... -2.84821540e-03
  9.03314576e-02  1.61293479e-01]",44100,7402,0,Electronic
"[ 5.06622522e-10  2.40825786e-08 -4.78592881e-08 ... -8.99915816e-03
 -8.71839502e-03 -9.02365940e-03]",48000,22133,7,Instrumental
"[ 7.52279877e-10 -9.67665947e-11 -1.19890584e-08 ...  1.51446432e-01
  1.50444977e-01  1.44418962e-01]",44100,5479,4,Hip-Hop
"[-0.18726358 -0.19400448 -0.1959298  ...  0.05785856  0.06803762
  0.07694518]",44100,3079,3,Experimental
"[5.47762721e-08 1.33739786e-07 1.64396793e-07 ... 3.46387960e-02
 3.65939979e-02 3.79745271e-02]",44100,19009,5,Folk
"[ 0.          0.          0.         ... -0.09325613 -0.10798207
 -0.10471225]",44100,24422,2,Punk
"[-7.92553852e-11  2.18946677e-09  3.76584509e-09 ...  1.27399419e-02
  2.51116569e-03 -1.09310276e-02]",44100,24428,8,Pop
"[-2.20828822e-09 -2.24012160e-08 -6.77155398e-08 ...  1.82317272e-01
  1.95338674e-01  2.08571777e-01]",44100,11250,3,Experimental
"[5.74667269e-07 5.47684477e-07 4.99844791e-07 ... 1.67791136e-01
 1.63523328e-01 1.54947694e-01]",44100,15685,7,Instrumental
"[ 0.          0.          0.         ... -0.0051529   0.00447121
  0.00445069]",44100,14945,9,International
"[-0.02459729 -0.02369037 -0.02385009 ... -0.2300862  -0.26403732
 -0.11124226]",44100,7995,3,Experimental
"[ 0.          0.          0.         ... -0.34712514 -0.30646161
 -0.28312428]",44100,11957,7,Instrumental
[0.         0.         0.         ... 0.07321308 0.07352291 0.07312803],44100,23554,8,Pop
"[9.50723233e-08 2.28228750e-07 1.32246125e-07 ... 1.58180349e-01
 8.32138881e-02 7.51547087e-02]",44100,12124,8,Pop
"[ 0.          0.          0.         ... -0.86288854 -0.87955588
 -0.8754206 ]",44100,4513,3,Experimental
"[-0.08080574 -0.11879487 -0.0666398  ... -0.32414381 -0.37070546
 -0.39904605]",44100,9150,1,Rock
"[7.23925297e-07 8.13422929e-07 8.00729083e-07 ... 2.37196252e-01
 2.05680914e-01 1.90285131e-01]",44100,1631,2,Punk
"[ 0.01043025  0.00450782  0.00650648 ... -0.06149385 -0.05772824
 -0.04336884]",44100,8405,8,Pop
"[-1.21294547e-07 -1.27635415e-07 -9.49668690e-08 ...  6.92566216e-01
  6.95176154e-01  7.19519049e-01]",44100,14830,8,Pop
